indicativo,altitud,tmed,latitud_dd,longitud_dd,cluster
0002I,32,17.11037723919007,40.95805555555556,0.8713888888888889,0
0009X,406,15.457051609606541,41.21388888888889,0.9633333333333332,0
0016A,71,17.283885341997674,41.145,1.163611111111111,0
0016B,118,18.662309967384097,41.15416666666667,1.108888888888889,0
0034X,233,16.68690383111806,41.293055555555554,1.2608333333333333,0
0042Y,55,18.03201174743025,41.12388888888889,1.2491666666666668,0
0061X,632,14.14439586645469,41.41694444444444,1.5191666666666666,0
0066X,177,16.554693388146624,41.33027777777778,1.6769444444444443,0
0073X,58,16.870929798356983,41.24388888888889,1.8525,0
0076,4,17.563313718278778,41.29277777777778,2.0700000000000003,0
0092X,682,13.779239649681527,42.10138888888889,1.8575,3
0106X,361,14.376185531325719,41.86638888888889,1.8725,0
0114X,700,13.371284032376748,42.00694444444444,2.0266666666666664,3
0120X,742,13.78109756097561,41.81333333333333,2.095277777777778,3
0149D,291,15.769396681749624,41.72,1.840277777777778,0
0149X,291,15.601268956979263,41.72,1.840277777777778,0
0158O,738,13.616735173223722,41.59444444444445,1.8391666666666668,3
0158X,738,13.781353456669912,41.59444444444445,1.8391666666666668,3
0171X,313,15.881767296344666,41.57888888888889,1.6177777777777778,0
0194D,647,15.056433944576844,41.40805555555556,1.885,3
0200E,408,16.691139705882353,41.41833333333333,2.1241666666666665,0
0201D,26,17.476819606706,41.39055555555556,2.2,0
0201X,11,17.625691019411327,41.375,2.1738888888888885,0
0222X,175,15.982458941605842,41.61277777777778,2.168333333333333,0
0229I,146,12.071573216298631,41.52361111111111,2.103055555555556,0
0244X,56,18.082989926739927,41.505,2.3625000000000003,0
0252D,74,17.329890512317878,41.58722222222222,2.54,0
0255B,40,15.17321560703921,41.65083333333333,2.6969444444444446,0
0260X,936,13.484051923968474,41.76,2.431111111111111,3
0281Y,45,17.728594249201276,41.676944444444445,2.805,0
0284X,14,16.161501214862604,41.80777777777777,3.0308333333333333,0
0294B,51,16.48384825967931,41.967777777777776,3.042222222222222,0
0312X,851,11.559382986491421,42.25833333333333,2.364444444444445,3
0320I,1151,11.641590326126787,42.316944444444445,2.102777777777778,3
0321,731,12.63998508019396,42.22277777777778,2.167222222222222,3
0324A,675,12.924940965025167,42.19138888888889,2.196111111111111,3
0341,611,13.402394799863153,41.84666666666667,2.2266666666666666,3
0341X,607,13.754773074533402,41.846944444444446,2.2225,3
0349,578,13.60394268098152,41.92611111111111,2.3175,3
0360X,337,14.082774001699235,42.05277777777778,2.551111111111111,0
0363X,810,12.941682091312247,41.880833333333335,2.513333333333333,3
0367,143,16.362055004810447,41.91166666666666,2.763333333333333,0
0370E,76,17.132496576905524,41.97222222222222,2.819444444444444,0
0372C,157,15.468136306658701,42.10444444444445,2.763611111111111,0
0385X,1,16.892847349177334,42.053888888888885,3.2013888888888893,0
0394X,350,14.587551299589604,42.21055555555556,2.4719444444444445,0
0411X,2,16.407683486238533,42.22472222222223,3.093055555555556,0
0413A,355,15.353374006237882,42.386944444444445,2.7555555555555555,0
0421E,100,17.011567261022602,42.39,3.006111111111111,0
0421X,100,17.187557992408266,42.39,3.006111111111111,0
0429X,45,17.54994122257053,42.259166666666665,2.960277777777778,0
0433D,75,17.492410459366337,42.31916666666667,3.315555555555556,0
1002Y,183,14.307352573770292,43.13583333333333,-1.5430555555555554,2
1010X,54,14.806395975565936,43.27861111111111,-1.6758333333333333,2
1012P,120,15.611785434612372,43.32638888888889,-1.7966666666666666,2
1014,4,15.793354182955435,43.35694444444445,-1.7922222222222222,2
1014A,4,16.219507427677872,43.35694444444445,-1.7922222222222222,2
1021X,165,14.98712715855573,43.21388888888889,-1.8788888888888888,2
1021Y,305,13.061517984982679,43.21222222222222,-1.7977777777777777,2
1024E,250,14.51102423768569,43.30638888888888,-2.041111111111111,2
1025A,255,14.623892188213796,43.01555555555556,-2.256666666666667,2
1025X,255,14.409522878373094,43.05472222222222,-2.2319444444444447,2
1026X,290,14.303464799115371,43.05805555555556,-2.1841666666666666,2
1033X,520,13.039047805642634,43.085,-1.9508333333333328,2
1037X,460,12.990648148148148,43.05166666666666,-2.3372222222222225,2
1037Y,420,12.781507153705144,43.080000000000005,-2.3175,2
1038X,180,14.517027162977866,43.1725,-2.2672222222222222,2
1041A,28,15.88947644576425,43.30222222222222,-2.2511111111111117,2
1044X,617,12.35686600221484,43.05777777777777,-2.5897222222222225,2
1048X,308,13.051910507792861,43.025,-2.4658333333333333,2
1049N,470,13.046395563770794,43.138333333333335,-2.4958333333333336,2
1050J,119,14.23715181759459,43.20916666666667,-2.413333333333333,2
1052A,150,15.019408502772643,43.31722222222223,-2.397222222222222,2
1055B,12,15.664622124863088,43.37694444444445,-2.5102777777777776,3
1056K,45,14.706948640483384,43.3425,-2.6711111111111108,2
1057B,93,15.14959445287309,43.45388888888889,-2.7527777777777778,2
1059X,81,14.954413841525604,43.375,-3.0216666666666665,2
1060X,240,14.382983576642335,43.05027777777777,-3.0055555555555555,2
1064L,270,14.447202925045703,43.09638888888889,-2.8602777777777777,2
1069Y,747,11.522562929061785,43.09916666666667,-2.6441666666666666,2
1074C,100,14.651760402377686,43.20277777777778,-2.706111111111112,2
1078C,210,14.193428258488499,43.18055555555555,-3.2097222222222226,2
1078I,208,13.922136546569075,43.20333333333333,-3.104722222222222,2
1082,42,15.58665754361957,43.29805555555556,-2.906388888888889,2
1083B,177,15.031569343065694,43.27972222222222,-3.168611111111111,2
1083L,45,15.638934135977337,43.39472222222222,-3.233888888888889,2
1089U,80,14.548493150684932,43.255833333333335,-3.4708333333333337,2
1096X,10,14.520369017172087,43.39666666666667,-3.4697222222222224,2
1103X,849,11.637072503419974,43.2275,-3.721111111111111,2
1109,3,15.478240262050505,43.42388888888889,-3.8255555555555554,2
1109X,3,15.154964816262705,43.42861111111111,-3.8313888888888887,2
1111,52,15.211898625429555,43.49111111111111,-3.800555555555556,2
1111X,51,15.422028928850665,43.49111111111111,-3.800555555555556,2
1124E,196,13.90281690140845,43.24555555555556,-3.849444444444445,2
1135C,460,12.298831263696128,43.14694444444444,-4.214166666666667,2
1152C,105,14.6092795614722,43.27194444444444,-4.048611111111111,2
1154H,110,15.001037588097104,43.35861111111111,-4.0275,2
1159,38,14.747094621122889,43.39333333333333,-4.392222222222222,2
1167B,1100,11.343210659898476,43.14388888888889,-4.812777777777778,3
1167G,1910,6.320951913640824,43.155,-4.803055555555555,5
1167J,1722,6.6609793814432985,43.08916666666667,-4.773888888888889,5
1174I,250,13.988403944485025,43.18277777777777,-4.601666666666667,3
1176A,940,11.68754894283477,43.255833333333335,-4.668333333333334,3
1178R,1236,9.339004077297494,43.2375,-4.736666666666666,3
1178Y,953,10.348083623693379,43.14527777777778,-4.931666666666667,3
1179B,458,13.851536595228467,43.31111111111111,-4.852777777777778,2
1183X,10,15.26064367816092,43.42027777777778,-4.748055555555555,2
1186P,370,14.33469591226321,43.266666666666666,-5.119166666666667,2
1199X,280,13.778706697459585,43.37777777777778,-5.396666666666667,2
1203D,30,14.44611570247934,43.49222222222223,-5.247222222222223,2
1207U,26,14.473340647284695,43.52305555555555,-5.621111111111111,2
1208H,5,15.74317607413648,43.55972222222222,-5.700833333333334,2
1210X,100,14.787844489615342,43.65583333333333,-5.848611111111111,2
1212E,127,14.177859507171753,43.566944444444445,-6.0441666666666665,2
1221D,1480,7.385751713018943,42.97861111111112,-5.776388888888889,3
1223P,370,13.52296397807361,43.132777777777775,-5.822777777777778,3
1226X,750,11.596956427505896,43.09527777777778,-5.476944444444444,3
1234P,170,14.726637726913971,43.275,-5.819166666666667,2
1249I,336,13.713829301688726,43.35333333333333,-5.874166666666667,2
1249X,334,13.913218615565114,43.35333333333333,-5.87388888888889,2
1272B,280,13.735314822057097,43.290277777777774,-6.386666666666667,3
1276F,670,12.119951377633713,43.1,-6.256944444444445,3
1279X,240,13.887977229972575,43.425,-6.230833333333334,2
1283U,60,14.469307123394318,43.56916666666667,-6.47,2
1297E,1020,11.374853896103897,42.76861111111111,-7.0175,3
1302F,1310,9.237639405204462,42.95527777777778,-6.4725,3
1309C,780,12.523841853035144,43.0275,-6.885,3
1327A,410,13.052272727272726,43.46555555555556,-6.673333333333334,2
1331A,40,14.598750411048998,43.52472222222222,-7.0313888888888885,2
1341B,340,12.990555555555556,43.41555555555556,-7.061111111111111,2
1342X,43,14.555458249187017,43.54055555555556,-7.083055555555555,2
1344X,125,13.859362549800798,43.43138888888889,-7.361666666666666,2
1347T,80,14.865461227099388,43.65111111111111,-7.357222222222222,2
1351,90,14.660223056283977,43.78611111111111,-7.685,2
1354C,4,15.153127829487936,43.47638888888889,-8.262222222222222,2
1363X,343,12.991392971340128,43.44583333333333,-7.861388888888888,2
1387,57,15.411529250769757,43.365833333333335,-8.421388888888888,2
1387D,132,15.034659232474016,43.36333333333334,-8.441944444444445,2
1387E,98,14.362353171495691,43.30694444444444,-8.371944444444445,2
1390X,98,13.68457391304348,43.20361111111112,-8.71111111111111,2
1393,50,14.281004873944537,43.160555555555554,-9.210833333333332,2
1399,287,13.46401644962303,43.0575,-9.046944444444444,2
1400,230,14.328991596638655,42.92472222222222,-9.29138888888889,2
1406X,340,13.336316872427982,42.93527777777778,-8.993611111111111,2
1410X,500,12.49574800416522,43.03777777777778,-8.022222222222224,2
1428,370,13.773722627737227,42.88805555555555,-8.410555555555556,2
1435C,128,15.022756670799915,42.80027777777777,-8.876111111111111,2
1437O,685,12.62563070562201,42.72055555555556,-8.923333333333332,2
1442U,10,15.240122977619816,42.64388888888889,-8.892222222222221,2
1446X,680,12.76135276655914,42.80972222222222,-7.768333333333333,3
1455I,645,11.837524455928031,42.71111111111112,-7.953888888888889,3
1465U,463,13.046210779387478,42.66555555555556,-8.1925,2
1466A,435,14.382289648058679,42.700833333333335,-8.257777777777777,2
1468X,269,14.389908232542089,42.69361111111111,-8.501944444444444,2
1473A,100,14.966262062918762,42.73833333333334,-8.627222222222223,2
1475X,240,14.699723960250276,42.87611111111112,-8.555833333333334,2
1476R,210,14.604079870627691,42.74972222222223,-8.714722222222221,2
1477U,36,15.867746350364962,42.58222222222223,-8.769722222222223,2
1477V,32,15.732719741841086,42.58472222222223,-8.774722222222223,2
1484C,113,15.225878704341833,42.43833333333333,-8.615833333333333,2
1486E,3,16.00522000821737,42.39611111111111,-8.706944444444444,2
1489A,395,13.425749211356466,42.40694444444444,-8.45111111111111,2
