indicativo,altitud,tmed,hrMedia_mean,latitud_dd,longitud_dd,cluster
0002I,32,17.11037723919007,62.20993041638925,40.95805555555556,0.8713888888888889,1
0009X,406,15.457051609606541,65.473939703628,41.21388888888889,0.9633333333333332,1
0016A,71,17.283885341997674,63.79632525410477,41.145,1.163611111111111,1
0016B,118,18.662309967384097,61.21266614542611,41.15416666666667,1.108888888888889,1
0034X,233,16.68690383111806,66.9007036747459,41.293055555555554,1.2608333333333333,1
0042Y,55,18.03201174743025,67.35022026431719,41.12388888888889,1.2491666666666668,1
0061X,632,14.14439586645469,58.48430047694754,41.41694444444444,1.5191666666666666,4
0066X,177,16.554693388146624,68.24323398424117,41.33027777777778,1.6769444444444443,1
0073X,58,16.870929798356983,71.50578790141897,41.24388888888889,1.8525,1
0076,4,17.563313718278778,68.15759470393527,41.29277777777778,2.0700000000000003,1
0092X,682,13.779239649681527,65.43192675159236,42.10138888888889,1.8575,3
0106X,361,14.376185531325719,67.47853928695051,41.86638888888889,1.8725,1
0114X,700,13.371284032376748,68.967255334805,42.00694444444444,2.0266666666666664,1
0120X,742,13.78109756097561,69.70963995354239,41.81333333333333,2.095277777777778,1
0149D,291,15.769396681749624,64.82970437628035,41.72,1.840277777777778,1
0149X,291,15.601268956979263,62.00448777468276,41.72,1.840277777777778,4
0158O,738,13.616735173223722,65.45311367955863,41.59444444444445,1.8391666666666668,1
0158X,738,13.781353456669912,67.70821161960403,41.59444444444445,1.8391666666666668,1
0171X,313,15.881767296344666,60.62053230242083,41.57888888888889,1.6177777777777778,4
0194D,647,15.056433944576844,70.99095102909865,41.40805555555556,1.885,1
0200E,408,16.691139705882353,68.52654130111412,41.41833333333333,2.1241666666666665,1
0201D,26,17.476819606706,72.36728726492603,41.39055555555556,2.2,1
0201X,11,17.625691019411327,67.30886239312852,41.375,2.1738888888888885,1
0222X,175,15.982458941605842,68.38845802919708,41.61277777777778,2.168333333333333,1
0229I,146,12.071573216298631,63.946108122212856,41.52361111111111,2.103055555555556,1
0244X,56,18.082989926739927,67.29967948717949,41.505,2.3625000000000003,1
0252D,74,17.329890512317878,61.79498245261035,41.58722222222222,2.54,1
0255B,40,15.17321560703921,70.41426075910115,41.65083333333333,2.6969444444444446,1
0260X,936,13.484051923968474,69.85790449698655,41.76,2.431111111111111,0
0281Y,45,17.728594249201276,71.6188954815153,41.676944444444445,2.805,1
0284X,14,16.161501214862604,72.25609211663206,41.80777777777777,3.0308333333333333,1
0294B,51,16.48384825967931,69.69808369182635,41.967777777777776,3.042222222222222,1
0312X,851,11.559382986491421,76.21496691930234,42.25833333333333,2.364444444444445,0
0320I,1151,11.641590326126787,62.34383475553136,42.316944444444445,2.102777777777778,3
0321,731,12.63998508019396,63.80361805296531,42.22277777777778,2.167222222222222,3
0324A,675,12.924940965025167,69.57467481775284,42.19138888888889,2.196111111111111,1
0341,611,13.402394799863153,70.54601436879918,41.84666666666667,2.2266666666666666,1
