indicativo,provincia,start_date,end_date,latitud_dd,longitud_dd,tmed,hrMedia_mean,cluster
0002I,Tarragona,2016-01-01,2021-07-06,40.95805555555556,0.8713888888888889,17.11037723919007,62.20993041638925,0
0009X,Tarragona,2016-01-01,2024-12-31,41.21388888888889,0.9633333333333332,15.457051609606541,65.473939703628,2
0016A,Tarragona,2016-01-01,2024-12-31,41.145,1.163611111111111,17.283885341997674,63.79632525410477,0
0016B,Tarragona,2016-01-01,2024-12-31,41.15416666666667,1.108888888888889,18.662309967384097,61.21266614542611,0
0034X,Tarragona,2016-01-01,2024-12-31,41.293055555555554,1.2608333333333333,16.68690383111806,66.9007036747459,0
0042Y,Tarragona,2016-01-01,2024-12-31,41.12388888888889,1.2491666666666668,18.03201174743025,67.35022026431719,0
0061X,Barcelona,2016-01-01,2024-12-31,41.41694444444444,1.5191666666666666,14.14439586645469,58.48430047694754,0
0066X,Barcelona,2016-01-01,2024-12-31,41.33027777777778,1.6769444444444443,16.554693388146624,68.24323398424117,0
0073X,Barcelona,2016-01-01,2024-12-31,41.24388888888889,1.8525,16.870929798356983,71.50578790141897,4
0076,Barcelona,2016-01-01,2025-06-11,41.29277777777778,2.0700000000000003,17.563313718278778,68.15759470393527,0
0092X,Barcelona,2016-01-01,2024-12-31,42.10138888888889,1.8575,13.779239649681527,65.43192675159236,0
0106X,Barcelona,2016-01-01,2025-06-11,41.86638888888889,1.8725,14.376185531325719,67.47853928695051,0
0114X,Barcelona,2016-01-01,2025-06-11,42.00694444444444,2.0266666666666664,13.371284032376748,68.967255334805,0
0120X,Barcelona,2016-01-01,2025-06-11,41.81333333333333,2.095277777777778,13.78109756097561,69.70963995354239,0
0149D,Barcelona,2016-01-01,2025-04-30,41.72,1.840277777777778,15.769396681749624,64.82970437628035,0
0149X,Barcelona,2016-01-01,2025-06-11,41.72,1.840277777777778,15.601268956979263,62.00448777468276,0
0158O,Barcelona,2016-01-01,2025-05-31,41.59444444444445,1.8391666666666668,13.616735173223722,65.45311367955863,0
0158X,Barcelona,2016-01-01,2025-06-11,41.59444444444445,1.8391666666666668,13.781353456669912,67.70821161960403,2
0171X,Barcelona,2016-09-29,2025-06-11,41.57888888888889,1.6177777777777778,15.881767296344666,60.62053230242083,0
0194D,Barcelona,2016-01-01,2025-06-11,41.40805555555556,1.885,15.056433944576844,70.99095102909865,0
0200E,Barcelona,2016-01-01,2025-06-11,41.41833333333333,2.1241666666666665,16.691139705882353,68.52654130111412,2
0201D,Barcelona,2016-01-01,2025-06-11,41.39055555555556,2.2,17.476819606706,72.36728726492603,4
0201X,Barcelona,2016-01-01,2025-06-11,41.375,2.1738888888888885,17.625691019411327,67.30886239312852,4
0222X,Barcelona,2016-01-01,2022-12-31,41.61277777777778,2.168333333333333,15.982458941605842,68.38845802919708,0
0229I,Barcelona,2016-01-01,2016-04-20,41.52361111111111,2.103055555555556,12.071573216298631,63.946108122212856,2
0244X,Barcelona,2016-01-01,2022-12-31,41.505,2.3625000000000003,18.082989926739927,67.29967948717949,0
0252D,Barcelona,2016-01-01,2022-12-31,41.58722222222222,2.54,17.329890512317878,61.79498245261035,0
0255B,Barcelona,2016-01-01,2022-01-11,41.65083333333333,2.6969444444444446,15.17321560703921,70.41426075910115,4
